ObjectID,IncidentNum,BlockAddress,CMID,CMAgency,Date,Type,Status,Score,Side,full_address,latitude,longitude
1134974,241103-1027,1000 BLOCK ALA MOANA BLVD,Honolulu_PD_HI_7494651,"Honolulu PD, HI",11/03/2024 04:09:22 PM,VEHICLE BREAK-IN/THEFT,M,87,R,"1000 BLOCK ALA MOANA BLVD Honolulu, HI",NA,NA
1134975,241103-1386,900 BLOCK KAHIKOLU PL,Honolulu_PD_HI_7495233,"Honolulu PD, HI",11/03/2024 08:02:16 PM,BURGLARY,M,95,L,"900 BLOCK KAHIKOLU PL Honolulu, HI",NA,NA
1134976,241103-1527,000 BLOCK N HOTEL ST,Honolulu_PD_HI_7495476,"Honolulu PD, HI",11/03/2024 10:01:39 PM,VEHICLE BREAK-IN/THEFT,M,100,L,"000 BLOCK N HOTEL ST Honolulu, HI",NA,NA
1134998,241103-0011,400 BLOCK KEONIANA ST,Honolulu_PD_HI_7493098,"Honolulu PD, HI",11/03/2024 12:04:57 AM,DUI,M,100,R,"400 BLOCK KEONIANA ST Honolulu, HI",21.2855592,-157.8317481
1134999,241103-0033,400 BLOCK N KING ST,Honolulu_PD_HI_7493134,"Honolulu PD, HI",11/03/2024 12:20:56 AM,ASSAULT,M,100,L,"400 BLOCK N KING ST Honolulu, HI",21.3299885,-157.8736304
1135000,241103-0041,2400 BLOCK LILIHA ST,Honolulu_PD_HI_7493149,"Honolulu PD, HI",11/03/2024 12:26:10 AM,VEHICLE BREAK-IN/THEFT,M,100,L,"2400 BLOCK LILIHA ST Honolulu, HI",NA,NA
1135001,241103-0097,1300 BLOCK S BERETANIA ST,Honolulu_PD_HI_7493234,"Honolulu PD, HI",11/03/2024 01:17:47 AM,MOTOR VEHICLE THEFT,M,100,L,"1300 BLOCK S BERETANIA ST Honolulu, HI",NA,NA
1135002,241103-1592,2300 BLOCK MAKANANI DR,Honolulu_PD_HI_7495574,"Honolulu PD, HI",11/03/2024 10:46:22 PM,ASSAULT,M,100,L,"2300 BLOCK MAKANANI DR Honolulu, HI",NA,NA
1135029,241103-0169,1300 BLOCK KAPIOLANI BLVD,Honolulu_PD_HI_7493339,"Honolulu PD, HI",11/03/2024 02:22:43 AM,DISTURBING THE PEACE,M,100,R,"1300 BLOCK KAPIOLANI BLVD Honolulu, HI",NA,NA
1135030,241103-0465,S BERETANIA ST / NUUANU AVE,Honolulu_PD_HI_7493771,"Honolulu PD, HI",11/03/2024 08:24:38 AM,SEX CRIMES,U,0,NA,"S BERETANIA ST / NUUANU AVE Honolulu, HI",21.3120734,-157.860384
1135031,241103-1151,840300 BLOCK FARRINGTON HWY,Honolulu_PD_HI_7494850,"Honolulu PD, HI",11/03/2024 05:34:31 PM,MOTOR VEHICLE THEFT,M,100,R,"840300 BLOCK FARRINGTON HWY Honolulu, HI",NA,NA
1135032,241103-1219,1400 BLOCK ALA MOANA BLVD,Honolulu_PD_HI_7494982,"Honolulu PD, HI",11/03/2024 06:20:20 PM,THEFT/LARCENY,M,87,L,"1400 BLOCK ALA MOANA BLVD Honolulu, HI",NA,NA
1135033,241103-1260,2100 BLOCK KALIA RD,Honolulu_PD_HI_7495041,"Honolulu PD, HI",11/03/2024 06:40:12 PM,DRUGS/ALCOHOL VIOLATIONS,M,100,R,"2100 BLOCK KALIA RD Honolulu, HI",NA,NA
1135038,241103-0262,DILLINGHAM BLVD / WAIAKAMILO RD,Honolulu_PD_HI_7493482,"Honolulu PD, HI",11/03/2024 04:36:11 AM,VEHICLE BREAK-IN/THEFT,U,0,NA,"DILLINGHAM BLVD / WAIAKAMILO RD Honolulu, HI",21.3236841,-157.875626
1135039,241103-0707,1500 BLOCK NUUANU AVE,Honolulu_PD_HI_7494137,"Honolulu PD, HI",11/03/2024 11:39:13 AM,MOTOR VEHICLE THEFT,M,96,R,"1500 BLOCK NUUANU AVE Honolulu, HI",NA,NA
1135040,241103-0899,470400 BLOCK HUI AEKO PL,Honolulu_PD_HI_7494454,"Honolulu PD, HI",11/03/2024 02:38:57 PM,VANDALISM,M,100,L,"470400 BLOCK HUI AEKO PL Honolulu, HI",NA,NA
1135041,241103-1358,450400 BLOCK KANEOHE BAY DR,Honolulu_PD_HI_7495173,"Honolulu PD, HI",11/03/2024 07:43:21 PM,THEFT/LARCENY,M,100,L,"450400 BLOCK KANEOHE BAY DR Honolulu, HI",NA,NA
1135067,241103-0360,590600 BLOCK KAM HWY,Honolulu_PD_HI_7493627,"Honolulu PD, HI",11/03/2024 06:40:58 AM,VEHICLE BREAK-IN/THEFT,M,100,L,"590600 BLOCK KAM HWY Honolulu, HI",NA,NA
1135068,241103-0417,1700 BLOCK KALAKAUA AVE,Honolulu_PD_HI_7493691,"Honolulu PD, HI",11/03/2024 07:35:15 AM,BURGLARY,M,100,L,"1700 BLOCK KALAKAUA AVE Honolulu, HI",NA,NA
1135069,241103-0435,1700 BLOCK MAKIKI ST,Honolulu_PD_HI_7493728,"Honolulu PD, HI",11/03/2024 07:59:59 AM,BURGLARY,M,100,L,"1700 BLOCK MAKIKI ST Honolulu, HI",NA,NA
1135070,241103-0894,1800 BLOCK KAM IV RD,Honolulu_PD_HI_7494445,"Honolulu PD, HI",11/03/2024 02:33:49 PM,THEFT/LARCENY,M,100,R,"1800 BLOCK KAM IV RD Honolulu, HI",NA,NA
1135071,241103-1179,540300 BLOCK KAM HWY,Honolulu_PD_HI_7494913,"Honolulu PD, HI",11/03/2024 05:56:12 PM,THEFT/LARCENY,M,100,L,"540300 BLOCK KAM HWY Honolulu, HI",NA,NA
1135092,241103-0555,670100 BLOCK KEALOHANUI ST,Honolulu_PD_HI_7493888,"Honolulu PD, HI",11/03/2024 09:30:05 AM,THEFT/LARCENY,M,100,L,"670100 BLOCK KEALOHANUI ST Honolulu, HI",NA,NA
1135093,241103-0784,2700 BLOCK KAPIOLANI BLVD,Honolulu_PD_HI_7494249,"Honolulu PD, HI",11/03/2024 01:07:38 PM,BURGLARY,M,100,R,"2700 BLOCK KAPIOLANI BLVD Honolulu, HI",NA,NA
1135094,241103-1121,940400 BLOCK KUPUOHI ST,Honolulu_PD_HI_7494810,"Honolulu PD, HI",11/03/2024 05:16:04 PM,BURGLARY,M,100,L,"940400 BLOCK KUPUOHI ST Honolulu, HI",NA,NA
1135095,241103-1409,1100 BLOCK ALAKEA ST,Honolulu_PD_HI_7495267,"Honolulu PD, HI",11/03/2024 08:19:49 PM,THEFT/LARCENY,M,100,L,"1100 BLOCK ALAKEA ST Honolulu, HI",NA,NA
