ObjectID,IncidentNum,BlockAddress,CMID,CMAgency,Date,Type,Status,Score,Side,full_address,latitude,longitude
1137562,241107-1030,550200 BLOCK KULANUI ST,Honolulu_PD_HI_7507190,"Honolulu PD, HI",11/07/2024 01:32:50 PM,MOTOR VEHICLE THEFT,M,100,L,"550200 BLOCK KULANUI ST Honolulu, HI",NA,NA
1137563,241107-1099,941200 BLOCK FARRINGTON HWY,Honolulu_PD_HI_7507319,"Honolulu PD, HI",11/07/2024 02:16:01 PM,ASSAULT,M,100,R,"941200 BLOCK FARRINGTON HWY Honolulu, HI",NA,NA
1137564,241107-1291,N HOTEL ST / RIVER ST,Honolulu_PD_HI_7507608,"Honolulu PD, HI",11/07/2024 04:07:25 PM,DRUGS/ALCOHOL VIOLATIONS,U,0,NA,"N HOTEL ST / RIVER ST Honolulu, HI",21.3130424,-157.8634501
1137590,241107-0121,800 BLOCK OLOKELE AVE,Honolulu_PD_HI_7505624,"Honolulu PD, HI",11/07/2024 02:41:48 AM,VEHICLE BREAK-IN/THEFT,M,100,L,"800 BLOCK OLOKELE AVE Honolulu, HI",NA,NA
1137591,241107-0544,800 BLOCK S BERETANIA ST,Honolulu_PD_HI_7506345,"Honolulu PD, HI",11/07/2024 09:07:48 AM,DRUGS/ALCOHOL VIOLATIONS,M,100,R,"800 BLOCK S BERETANIA ST Honolulu, HI",NA,NA
1137592,241107-1206,940900 BLOCK HANAUNA ST,Honolulu_PD_HI_7507482,"Honolulu PD, HI",11/07/2024 03:20:33 PM,VEHICLE BREAK-IN/THEFT,M,100,L,"940900 BLOCK HANAUNA ST Honolulu, HI",NA,NA
1137628,241107-0379,2700 BLOCK BOOTH RD,Honolulu_PD_HI_7506025,"Honolulu PD, HI",11/07/2024 07:27:40 AM,MOTOR VEHICLE THEFT,M,100,R,"2700 BLOCK BOOTH RD Honolulu, HI",NA,NA
1137629,241107-0417,300 BLOCK KALIHI ST,Honolulu_PD_HI_7506108,"Honolulu PD, HI",11/07/2024 07:57:00 AM,THEFT/LARCENY,M,100,L,"300 BLOCK KALIHI ST Honolulu, HI",21.3289476,-157.8775118
1137630,241107-0745,5000 BLOCK IROQUOIS AVE,Honolulu_PD_HI_7506694,"Honolulu PD, HI",11/07/2024 10:53:26 AM,FRAUD,M,100,L,"5000 BLOCK IROQUOIS AVE Honolulu, HI",NA,NA
1137631,241107-1001,951000 BLOCK KUAULI ST,Honolulu_PD_HI_7507147,"Honolulu PD, HI",11/07/2024 01:13:19 PM,THEFT/LARCENY,M,100,R,"951000 BLOCK KUAULI ST Honolulu, HI",NA,NA
1137632,241107-1615,2400 BLOCK KALAKAUA AVE,Honolulu_PD_HI_7508115,"Honolulu PD, HI",11/07/2024 07:33:43 PM,ASSAULT,M,100,R,"2400 BLOCK KALAKAUA AVE Honolulu, HI",NA,NA
1137664,241107-0229,1700 BLOCK S KING ST,Honolulu_PD_HI_7505799,"Honolulu PD, HI",11/07/2024 05:34:14 AM,VEHICLE BREAK-IN/THEFT,M,100,R,"1700 BLOCK S KING ST Honolulu, HI",NA,NA
